Title,Published_date,Views,Likes,Comments,Month
Data Analyst vs Business Analyst | What should you choose?,2022-07-26,4663,226,58,Jul
Materialized View in SQL | Faster SQL Queries using Materialized Views,2022-07-07,8264,318,96,Jul
Learn SQL the right way | SQL Live Training | Learn SQL from me,2022-06-28,11768,399,137,Jun
SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 2 (Query Solution),2022-06-21,9970,355,38,Jun
SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 1 (Problem Statement),2022-06-17,9163,385,68,Jun
REAL SQL Interview Question | Complex SQL Interview Query and Solution,2022-06-03,37917,992,94,Jun
Top 10 Tips for JOB Interview | Tips for Job Interview,2022-05-25,6612,302,42,May
Solving SQL Query | Rows to Column in SQL,2022-05-18,38391,1080,93,May
Procedure Tutorial in SQL | SQL Stored Procedure | Procedure in SQL,2022-05-01,41487,1039,104,May
my Live SQL Course Announcement #shorts,2022-04-05,6580,303,64,Apr
Best Online SQL Course to practically learn and practice SQL,2022-03-30,20338,453,114,Mar
Recursive SQL Queries Tutorial | Learn to write SQL Queries using Recursion,2022-03-23,42119,1163,150,Mar
Solving SQL Interview Queries | Tricky SQL Interview Queries,2022-03-16,82355,2084,290,Mar
How to learn SQL | Step by Step Guide on how to learn SQL,2022-03-02,71125,2464,288,Mar
ANSI vs Non ANSI Joins in SQL | SQL Query Writing using ANSI and Non ANSI method,2022-02-23,18727,445,78,Feb
SQL Views Tutorial | VIEWS in SQL Complete Tutorial,2022-02-15,64955,1391,243,Feb
Practice Writing SQL Queries on StrataScratch | How to Solve SQL Queries,2022-02-08,95106,2210,161,Feb
Subquery in SQL | Correlated Subquery + Complete SQL Subqueries Tutorial,2022-02-01,278623,6386,564,Feb
SQL JOINS Tutorial for beginners | Practice SQL Queries using JOINS - Part 2,2022-01-14,61368,2182,296,Jan
SQL JOINS Tutorial for beginners | Practice SQL Queries using JOINS - Part 1,2022-01-06,154092,4458,528,Jan
How to get your 1st DATA ANALYST Job | Data Analyst Job | How to become a Data Analyst,2021-12-29,228524,8361,880,Dec
BEST Online Courses to Learn SQL and Practice SQL Queries | BEST SQL Courses,2021-12-22,29952,892,129,Dec
REAL SQL Interview Question by a FAANG company | SQL Interview Query and Solution,2021-12-08,180539,3918,271,Dec
Top 25 SQL Interview Questions and Answers(The BEST SQL Interview Questions),2021-12-01,226609,8212,358,Dec
Practice SQL Interview Questions on LeetCode | Solve SQL Interview Questions (Practice SQL Queries),2021-11-18,45332,1358,112,Nov
"Thank you for 10,000 Subscribers | Answering some of your questions",2021-11-06,1549,93,83,Nov
Practice Writing SQL Queries using Real Dataset(Practice Complex SQL Queries),2021-10-28,62249,2043,224,Oct
Python Project to Scrape YouTube using YouTube Data API | Analyze and Visualize YouTube data,2021-10-13,26683,1012,125,Oct
Practice Complex SQL Queries | SQL Query to fetch N consecutive records,2021-09-28,41677,1497,153,Sep
ANACONDA Tutorial for Python | How to Install Anaconda on Mac OS and How to use Anaconda for Python,2021-09-21,22610,438,61,Sep
Connect to PostgreSQL from Python (Using SQL in Python) | Python to PostgreSQL,2021-09-13,36266,975,70,Sep
SQL WITH Clause | How to write SQL Queries using WITH Clause | SQL CTE (Common Table Expression),2021-09-05,174628,4329,409,Sep
STEP by STEP guide to Learn Python | How to learn PYTHON,2021-08-29,4905,283,45,Aug
Learn how to write SQL Queries(Practice Complex SQL Queries),2021-08-22,766466,18306,808,Aug
"SQL Window Function | How to write SQL Query using Frame Clause, CUME_DIST | SQL Queries Tutorial",2021-08-13,100056,3938,339,Aug
Learn how to use GitHub for Beginners | GitHub Tutorial,2021-08-06,29214,859,52,Aug
Git Tutorial for Complete Beginners | Learn Git in 35 minutes,2021-07-16,18995,844,105,Jul
Web Scraping in Python using Beautiful Soup | Writing a Python program to Scrape IMDB website,2021-07-05,42613,1494,223,Jul
Thank you for 1000 subscribers | Channel update | Who am i? & What i do?,2021-06-23,5817,139,63,Jun
Practice SQL and Python | How to Practice Programming | Using LeetCode,2021-06-08,10520,330,35,Jun
Logging Tutorial in Python | DON’T use Print for logging | How to Log messages in Python,2021-06-04,17483,444,52,Jun
"SQL Window Function | How to write SQL Query using RANK, DENSE RANK, LEAD/LAG | SQL Queries Tutorial",2021-05-21,283113,9762,778,May
How to Read and Write Files in Python | File Handling Tutorial in Python,2021-05-05,4092,262,25,May
Regular Expressions in Python | Regular Expressions Python Tutorial,2021-04-22,5767,181,43,Apr
What is Data Science (for beginners) | Data Science for Beginners | Data Science Life Cycle,2021-04-08,2115,92,10,Apr
Best Resume Format | Tips for writing an AWESOME Resume | ATS Resume Format,2021-03-25,59087,1817,147,Mar
Dictionary in Python (for beginners) | Python Dictionaries | Python Tutorial #10,2021-03-18,1436,43,6,Mar
Lists in Python EXPLAINED | Python Lists | Python Tutorial for Beginners #9,2021-03-11,1202,34,8,Mar
Exception Handling in Python | TRY EXCEPT in Python | Python Tutorial for Beginners #8,2021-03-04,2882,89,11,Mar
Local and Global Scope in Python | Local and Global Variables | Python Tutorial for Beginners #7,2021-03-01,1675,66,9,Mar
What is a FUNCTION in Python | Python Functions | Python Tutorial for Beginners #6,2021-02-22,1129,38,6,Feb
Import modules in Python | Import module from different directory | Python Tutorial for beginners #5,2021-02-14,36751,526,69,Feb
